,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
0,Andhra Pradesh,Arecanut,2000,724,935.6,68.12,16.37
1,Andhra Pradesh,Arhar/Tur,2000,216457,935.6,131915.16,16.37
2,Andhra Pradesh,Arhar/Tur,2000,2701,935.6,1585.48,16.37
3,Andhra Pradesh,Bajra,2000,135964,935.6,33663.5,16.37
4,Andhra Pradesh,Bajra,2000,12524,935.6,3699.54,16.37
5,Andhra Pradesh,Banana,2000,819660,935.6,12753.26,16.37
6,Andhra Pradesh,Cashewnut,2000,31074,935.6,37781.9,15.36
7,Andhra Pradesh,Castor seed,2000,136860,935.6,103625.86,15.36
8,Andhra Pradesh,Coconut ,2000,1092707179,935.6,26687.96,15.36
9,Andhra Pradesh,Coriander,2000,19993,935.6,15194.66,15.36
10,Andhra Pradesh,Cotton(lint),2000,1662683,935.6,265647.46,15.36
11,Andhra Pradesh,Dry chillies,2000,410643,935.6,47772.66,15.36
12,Andhra Pradesh,Dry chillies,2000,115528,935.6,14108.12,16.06
13,Andhra Pradesh,Ginger,2000,6515,935.6,605.54,16.06
14,Andhra Pradesh,Gram,2000,173,935.6,26,16.06
15,Andhra Pradesh,Gram,2000,228546,935.6,52198.38,16.06
16,Andhra Pradesh,Groundnut,2000,1697233,935.6,416350.74,16.06
17,Andhra Pradesh,Groundnut,2000,445720,935.6,70841.68,16.06
18,Andhra Pradesh,Horse-gram,2000,6838,935.6,3594.24,16.05
19,Andhra Pradesh,Horse-gram,2000,13492,935.6,16845.14,16.05
20,Andhra Pradesh,Jowar,2000,328490,935.6,86433.1,16.05
21,Andhra Pradesh,Jowar,2000,290498,935.6,89568.18,16.05
22,Andhra Pradesh,Linseed,2000,1093,935.6,1426.36,16.05
23,Andhra Pradesh,Maize,2000,1107165,935.6,111941.44,16.96
24,Andhra Pradesh,Maize,2000,473602,935.6,25251.98,16.96
25,Andhra Pradesh,Mesta,2000,686947,935.6,20233.98,16.96
26,Andhra Pradesh,Moong(Green Gram),2000,141194,935.6,101924.42,16.96
27,Andhra Pradesh,Moong(Green Gram),2000,43016,935.6,33374.9,15.67
28,Andhra Pradesh,Niger seed,2000,6001,935.6,4797.52,15.67
29,Andhra Pradesh,Onion,2000,227873,935.6,4435.08,15.67
30,Andhra Pradesh,Onion,2000,308617,935.6,3444.48,15.67
31,Andhra Pradesh,Other  Rabi pulses,2000,5471,935.6,3692,15.64
32,Andhra Pradesh,Other Kharif pulses,2000,5000,935.6,5161,15.64
33,Andhra Pradesh,Potato,2000,14618,935.6,647.14,15.64
34,Andhra Pradesh,Ragi,2000,92780,935.6,21707.92,15.64
35,Andhra Pradesh,Ragi,2000,27299,935.6,4097.6,15.9
36,Andhra Pradesh,Rapeseed &Mustard,2000,1048,935.6,1165.32,15.9
37,Andhra Pradesh,Rice,2000,8233806,935.6,780954.98,15.9
38,Andhra Pradesh,Rice,2000,4224208,935.6,322153.78,15.9
39,Andhra Pradesh,Safflower,2000,6574,935.6,4211.48,16.27
40,Andhra Pradesh,Sesamum,2000,29348,935.6,37371.62,16.27
41,Andhra Pradesh,Sesamum,2000,7893,935.6,10157.16,16.27
42,Andhra Pradesh,Small millets,2000,38398,935.6,16839.16,16.27
43,Andhra Pradesh,Small millets,2000,1449,935.6,509.86,16.57
44,Andhra Pradesh,Sugarcane,2000,17690131,935.6,61659,16.57
45,Andhra Pradesh,Sunflower,2000,167828,935.6,51287.86,16.57
46,Andhra Pradesh,Sweet potato,2000,25467,935.6,503.88,16.57
